MAG,pearson_r,p_value,pearson_r_clr,p_value_clr,if_have_butyrate_metabolite,added_reaction_count,flux,added_reactions,
MAG017,0.721763077,0.012153051,0.733884057,0.010139476,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG051,0.766457651,0.005931367,0.836429987,0.001330889,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG054,0.770164363,0.005551474,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG001,0.788414046,0.003936204,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG217,0.788771808,0.003908513,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG028,0.797883779,0.003250639,0.704023459,0.01560061,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG042,0.800798279,0.003058723,0.716386029,0.01313299,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG016,0.806710103,0.002695421,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG018,0.811239526,0.002439586,0.80788303,0.002627342,TRUE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG023,0.815314586,0.002225284,0.917227086,7.01E-05,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG021,0.824541622,0.001792133,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG044,0.831079069,0.001525825,0.765583732,0.006023646,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG043,0.836767244,0.001319263,,,FALSE,3,1,rxn11308_c0: ATP_c0 + 9 NAD_c0 + 9 CoA_c0 + 9 FAD_c0 + ocdca_c0 <=> 9 NADH_c0 + PPi_c0 + AMP_c0 + 9 Acetyl-CoA_c0 + 9 H+_c0 + 9 FADH2_c0; rxn00872_c0: FAD_c0 + Butyryl-CoA_c0 <=> Crotonyl-CoA_c0 + FADH2_c0; EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG005,0.840494985,0.001195773,0.707895681,0.014794652,TRUE,2,1,rxn00875_c0: Butyryl-CoA_c0 + Acetate_c0 <=> Butyrate_c0 + Acetyl-CoA_c0; EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG004,0.841325711,0.001169479,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG011,0.843202654,0.001111673,0.827638123,0.001661998,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG048,0.850087485,0.000917831,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG007,0.869408789,0.000507902,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG013,0.869839689,0.000500729,0.740423672,0.009159935,FALSE,4,1,"EX_cpd15240_e0: hexacosanoate_e0 <=> ; rxn11308_c0: ATP_c0 + 9 NAD_c0 + 9 CoA_c0 + 9 FAD_c0 + ocdca_c0 <=> 9 NADH_c0 + PPi_c0 + AMP_c0 + 9 Acetyl-CoA_c0 + 9 H+_c0 + 9 FADH2_c0; EX_cpd00211_e0: Butyrate_e0 <=> ; rxn06079_c0: H2O_c0 + Phosphatidylglycerol_c0 <=> H+_c0 + Glycerol-3-phosphate_c0 + 1,2-Diacyl-sn-glycerol_c0",
MAG036,0.870532055,0.000489363,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG046,0.89341348,0.000211078,0.90127212,0.000151301,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG020,0.901121116,0.000152311,0.76037075,0.00659616,FALSE,33,1,"rxn00410_c0: ATP_c0 + NH3_c0 + UTP_c0 <=> ADP_c0 + Phosphate_c0 + CTP_c0 + 2 H+_c0; EX_cpd00205_e0: K+_e0 <=> ; rxn05039_c0: H2O_c0 + 5-Amino-6--5-phosphoribitylaminouracil_c0 <=> Phosphate_c0 + 4--1-D-Ribitylamino-5-aminouracil_c0; rxn03822_c0: beta-BHC_c0 <=> 2 Cl-_c0 + 3,4,5,6-Tetrachlorocyclohexene_c0; rxn03150_c0: H2O_c0 + alpha-Ribazole 5'-phosphate_c0 <=> alpha-Ribazole_c0 + Phosphate_c0; rxn00777_c0: ribose-5-phosphate_c0 <=> D-Ribulose5-phosphate_c0; EX_cpd00028_e0: Heme_e0 <=> ; EX_cpd15238_e0: Hexadecenoyl-CoA_e0 <=> ; rxn00555_c0: L-Glutamine_c0 + D-fructose-6-phosphate_c0 <=> D-Glucosamine phosphate_c0 + L-Glutamate_c0; EX_cpd00058_e0: Cu2+_e0 <=> ; rxn03182_c0: CMP-KDO_c0 + Lipid IV(A)_c0 <=> CMP_c0 + H+_c0 + KDO-lipid IV(A)_c0; EX_cpd00030_e0: Mn2+_e0 <=> ; rxn08791_c0: kdo2-lipid a_e0 <=> kdo2-lipid a_c0; rxn44805_c0: H2O_c0 + CO2_c0 <=> Formate_c0 + UTP_c0 + H+_c0; EX_cpd00063_e0: Ca2+_e0 <=> ; EX_cpd00034_e0: Zn2+_e0 <=> ; rxn09018_c0: Nitrite_c0 + 3 Ubiquinol-8_e0 + H+_c0 <=> 3 Ubiquinone-8_e0 + 2 H2O_c0 + NH3_c0; EX_cpd10516_e0: Fe+3_e0 <=> ; EX_cpd10515_e0: Fe+2_e0 <=> ; rxn03825_c0: 5,6-Dichloro-1,3-cyclohexadiene_c0 <=> Benzene_c0 + 2 Cl-_c0; EX_cpd00211_e0: Butyrate_e0 <=> ; rxn03439_c0: KDO-lipid IV(A)_c0 + CMP-KDO_c0 <=> CMP_c0 + H+_c0 + kdo2-lipid iva_c0; EX_cpd00254_e0: Mg_e0 <=> ; EX_cpd15240_e0: hexacosanoate_e0 <=> ; rxn03823_c0: 3,4,5,6-Tetrachlorocyclohexene_c0 <=> 2 Cl-_c0 + 5,6-Dichloro-1,3-cyclohexadiene_c0; rxn02167_c0: (S)-3-Hydroxybutyryl-CoA_c0 <=> H2O_c0 + Crotonyl-CoA_c0; EX_cpd00305_e0: Thiamin_e0 <=> ; EX_cpd29426_e0: O-Antigens_e0 <=> ; EX_cpd00104_e0: BIOT_e0 <=> ; EX_cpd03587_e0: kdo2-lipid a_e0 <=> ; rxn01332_c0: D-Erythrose4-phosphate_c0 + H2O_c0 + Phosphoenolpyruvate_c0 <=> DAHP_c0 + Phosphate_c0; rxn09847_c0: Hexadecenoyl-CoA_e0 + H2O_c0 + ATP_c0 <=> ADP_c0 + Phosphate_c0 + H+_c0 + Hexadecenoyl-CoA_c0; rxn41785_c0: 2 Oxidized-ferredoxins_c0 + NAD_c0 + 2 Formate_c0 <=> 2 Reduced-ferredoxins_c0 + NADH_c0 + 2 CO2_c0 + H+_c0",
MAG032,0.901259676,0.000151384,0.819931052,0.001999826,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG030,0.907837566,0.000112096,0.706887857,0.015001464,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG006,0.910168294,0.000100238,0.908188193,0.000110247,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG003,0.913492016,8.50E-05,0.814290641,0.002277756,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG002,0.91540271,7.71E-05,,,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG041,0.921283607,5.62E-05,0.775864669,0.005002601,TRUE,2,1,rxn00994_c0: Butyryl-CoA_c0 + Acetoacetate_c0 <=> Butyrate_c0 + Acetoacetyl-CoA_c0; EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG025,0.931759373,3.00E-05,0.924339292,4.73E-05,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG014,0.933484029,2.68E-05,0.947131227,9.74E-06,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG034,0.936446238,2.20E-05,0.751363466,0.007678003,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG010,0.939483703,1.77E-05,0.798290815,0.003223314,TRUE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG029,0.9408353,1.60E-05,0.911176964,9.54E-05,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG022,0.958156528,3.46E-06,,,FALSE,3,0,rxn10577_c0: N2_e0 <=> N2_c0; EX_cpd00528_e0: N2_e0 <=> ; EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG033,0.971919408,5.86E-07,0.768675976,0.005701797,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG037,0.985209718,3.33E-08,0.928344182,3.72E-05,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG009,0.995626567,1.41E-10,0.768056148,0.005765272,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG052,,,0.820653357,0.001966158,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,
MAG039,,,0.792975564,0.003593839,FALSE,3,1,"rxn00875_c0: Butyryl-CoA_c0 + Acetate_c0 <=> Acetyl-CoA_c0 + Butyrate_c0; rxn34269_c0: 48 H2O_c0 + 250 Phosphate_c0 + starch n=300 repeat units (80 repeat units amylose, 220 repeat units amylopectin, corresponds to maize starch)_c0 <=> 50 D-Glucose_c0 + 250 Glucose-1-phosphate_c0; EX_cpd00211_e0: Butyrate_e0 <=> ",
MAG050,,,0.883073406,0.000315271,FALSE,1,0,EX_cpd00211_e0: Butyrate_e0 <=> ,